NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990
lung-512x512/15ebf36d_1-036.dcm,526.23,80.61,84.68,13.81,97.38,47.90,90.9,84.77,83.89,146.21,72.22
lung-512x512/83f95d11_1-033.dcm,526.22,76.75,85.42,13.16,97.5,101.15,80.78,166.69,68.32,248.61,52.76
lung-512x512/3ca93170_1-116.dcm,526.22,109.03,79.28,21.07,96.0,76.57,85.45,129.82,75.33,228.13,56.65
lung-512x512/141250cd_1-002.dcm,526.22,80.83,84.64,13.40,97.45,80.67,84.67,129.82,75.33,207.65,60.54
lung-512x512/0cfa7ec2_1-090.dcm,526.22,98.24,81.33,19.61,96.27,39.71,92.45,80.67,84.67,150.30,71.44
lung-512x512/bb182ae0_1-087.dcm,526.22,82.43,84.34,15.20,97.11,72.48,86.23,117.53,77.66,199.45,62.1
lung-512x512/194a7aad_1-024.dcm,525.71,80.25,84.74,11.54,97.81,39.71,92.45,76.57,85.43,138.01,73.75
lung-512x512/80e9a387_1-093.dcm,526.29,93.04,82.32,14.88,97.17,56.09,89.34,109.34,79.22,195.36,62.88
lung-512x512/929a532d_1-040.dcm,525.72,92.50,82.4,14.61,97.22,35.61,93.23,72.48,86.21,146.21,72.19
lung-512x512/dcee81b2_1-053.dcm,526.18,87.00,83.47,15.10,97.13,84.77,83.89,146.21,72.21,236.32,55.09
lung-512x512/ec21acac_1-94.dcm,526.21,88.01,83.27,12.80,97.57,68.38,87.0,113.44,78.44,199.45,62.1
lung-512x512/43050887_1-105.dcm,526.23,96.21,81.72,16.65,96.84,39.71,92.45,76.57,85.45,142.11,72.99
lung-512x512/acda1633_1-42.dcm,526.22,91.49,82.61,17.99,96.58,64.29,87.78,105.25,80.0,170.78,67.55
lung-512x512/35547bfe_1-041.dcm,526.22,88.25,83.23,17.33,96.71,52.00,90.12,88.86,83.11,162.59,69.1
lung-512x512/c50d0391_1-090.dcm,525.72,82.51,84.31,13.64,97.41,72.48,86.21,125.73,76.08,211.74,59.72
lung-512x512/eeb5fc3f_1-049.dcm,526.29,88.26,83.23,15.02,97.15,64.29,87.79,117.53,77.67,207.65,60.55
lung-512x512/8b54133d_1-081.dcm,526.18,90.82,82.74,15.92,96.98,68.38,87.0,125.73,76.11,219.93,58.2
lung-512x512/e545c221_1-73.dcm,525.72,96.09,81.72,18.13,96.55,52.00,90.11,97.05,81.54,174.88,66.74
lung-512x512/c1c45d3c_1-041.dcm,526.22,94.16,82.11,16.24,96.91,43.81,91.68,92.96,82.33,183.07,65.21
lung-512x512/0d3c922b_1-100.dcm,526.22,87.24,83.42,15.91,96.98,35.61,93.23,76.57,85.45,142.11,72.99
