NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990,MSE PNG,PSNR PNG,MSE JPEG,PSNR JPEG,MSE PCA-950,PSNR PCA-950,MSE PCA-975,PSNR PCA-975,MSE PCA-990,PSNR PCA-990
lung-512x512/7b867490_1-072.dcm,526.22,95.35,81.88,16.37,96.89,64.29,87.78,121.63,76.89,215.84,58.98,0,inf,3.38,42.84,22.67,34.58,15.97,36.1,9.34,38.43
lung-512x512/69206de7_1-097.dcm,525.73,109.03,79.26,21.11,95.98,72.48,86.21,133.92,74.53,248.61,52.71,0,inf,5.56,40.68,26.21,33.95,19.26,35.28,10.92,37.75
lung-512x512/07812232_1-004.dcm,526.22,65.85,87.49,11.77,97.76,68.38,87.01,109.34,79.22,174.88,66.77,0,inf,1.09,47.76,14.88,36.4,9.64,38.29,5.19,40.98
lung-512x512/c54b7e78_1-02.dcm,525.72,63.13,87.99,11.31,97.85,60.19,88.55,101.15,80.76,162.59,69.07,0,inf,1.05,47.92,15.39,36.26,9.96,38.15,5.53,40.7
lung-512x512/1-023.dcm,526.21,76.13,85.53,12.46,97.63,52,90.12,84.77,83.89,138.01,73.77,0,inf,1.66,45.93,21.03,34.9,14.91,36.4,9.03,38.57
lung-512x512/40751b22_1-027.dcm,526.19,79.87,84.82,12.04,97.71,68.38,87,121.63,76.88,207.65,60.54,0,inf,1.77,45.65,13.81,36.73,9.58,38.32,5.23,40.95
lung-512x512/5f02a0f3_1-67.dcm,526.21,96.55,81.65,19.91,96.22,68.38,87,117.53,77.66,195.36,62.87,0,inf,3.17,43.12,29.02,33.5,22.74,34.56,14.04,36.66
lung-512x512/5af74860_1-52.dcm,526.2,97.05,81.56,17.33,96.71,68.38,87,113.44,78.44,195.36,62.87,0,inf,3.39,42.83,27.33,33.76,21.06,34.9,12.92,37.02
lung-512x512/84c029b1_1-094.dcm,525.72,99.75,81.03,15.81,96.99,52,90.11,97.05,81.54,187.17,64.4,0,inf,3.75,42.39,25.26,34.11,19.12,35.32,11.72,37.44
lung-512x512/81191d3e_1-030.dcm,526.22,70.7,86.56,11.04,97.9,52,90.12,88.86,83.11,150.3,71.44,0,inf,1.11,47.68,15.12,36.34,10.34,37.99,5.37,40.83
